task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot;timestamp
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.0349061489105225;0.5339805825242718;0.3376883453781142;0.5288317309763476;0h:16m:50s;linear;1.0;na;
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.0089062452316284;0.4854368932038835;0.3530479089092516;0.4830067197433763;0h:16m:50s;linear;1.0;na;
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9231664538383484;0.5242718446601942;0.3591328926682031;0.5289315335826963;0h:16m:48s;linear;1.0;na;
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.886076807975769;0.5631067961165048;0.3865817778326533;0.5834743582316398;0h:16m:49s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;0.9178524613380432;0.5825242718446602;0.3795977638389806;0.5863355190007241;0h:5m:4s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.3446532487869265;0.4660194174757281;0.211876612315699;0.4524816987695343;0h:6m:5s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.4849470853805542;0.4174757281553398;0.1282128720766115;0.3594596335903628;0h:4m:43s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.0773746967315674;0.5145631067961165;0.2642078365702364;0.5079655411233492;0h:4m:38s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.1910910606384275;0.4854368932038835;0.2707623247068455;0.4707866149078248;0h:5m:3s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.5853129625320437;0.4174757281553398;0.1464597880455483;0.3886755235738274;0h:4m:10s;linear;1.0;na;
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.107107400894165;0.4951456310679611;0.2474093079526009;0.4760770767365381;0h:4m:18s;linear;1.0;na;2025_10_19_14_32_58
